subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
C,TWIST,708.6,1.527,9,-299.5,-164.5,3.348,1.121,0.380,2,FLICK
C,TWIST,802.8,0.939,36,-407.4,448.0,2.616,1.141,0.368,5,TWIST
C,TWIST,917.3,1.821,7,-231.3,272.5,3.167,1.160,0.394,1,FLICK
C,TWIST,901.9,1.082,33,378.8,454.5,2.629,1.186,0.401,2,TWIST
C,TWIST,853.4,0.966,30,377.7,505.9,2.228,1.149,0.340,3,TWIST
C,TWIST,820.4,1.182,19,312.7,381.2,4.833,1.157,0.567,3,TWIST
C,TWIST,958.0,0.966,16,529.7,461.6,5.585,1.242,0.738,2,TWIST
C,TWIST,1003.3,3.089,4,-198.2,126.6,3.205,1.127,0.430,1,FLICK
C,TWIST,639.6,1.530,4,-156.2,261.8,4.506,1.129,0.482,2,PINCH
C,TWIST,721.2,1.881,7,-272.7,110.7,3.397,1.116,0.380,2,FLICK
C,TWIST,562.0,1.622,5,-152.5,194.0,2.580,1.113,0.312,1,NONE
C,TWIST,392.9,0.671,17,-373.2,212.5,1.925,1.080,0.214,2,NONE
C,TWIST,395.1,0.941,5,-351.5,-68.2,2.077,1.077,0.218,1,NONE
C,TWIST,508.2,0.770,52,-305.5,354.1,1.836,1.079,0.235,4,NONE
C,TWIST,680.1,1.927,3,-271.8,-81.1,2.289,1.117,0.336,1,NONE
C,TWIST,652.8,1.886,8,-259.9,-86.3,2.218,1.116,0.285,1,NONE
C,TWIST,622.4,1.381,23,197.9,252.7,2.263,1.076,0.290,3,NONE
C,TWIST,684.5,1.300,7,-412.3,-114.1,2.147,1.127,0.304,2,NONE
C,TWIST,560.9,1.060,26,-209.8,319.5,2.232,1.049,0.283,2,NONE
C,TWIST,184.7,1.076,0,102.0,-69.7,2.001,1.070,0.306,2,NONE
C,TWIST,472.0,0.611,43,347.6,424.7,1.916,1.092,0.331,5,NONE
C,TWIST,550.7,0.603,53,-550.7,423.0,2.449,1.178,0.429,3,PINCH
C,TWIST,570.2,0.875,46,260.3,391.1,2.096,1.120,0.355,5,NONE
