subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
A,TWIST,845.5,1.017,39,337.4,-494.3,2.233,1.339,0.271,12,TWIST
A,TWIST,644.8,1.053,33,644.8,-404.0,1.876,1.326,0.161,12,TWIST
A,TWIST,527.4,0.961,13,527.4,-355.1,2.284,1.372,0.326,12,PINCH
A,TWIST,670.0,1.878,46,670.0,137.4,2.040,1.310,0.307,15,TWIST
A,TWIST,644.0,1.842,50,-166.4,644.0,1.925,1.287,0.303,15,TWIST
A,TWIST,147.1,0.849,0,-86.1,147.1,2.105,1.270,0.363,9,NONE
A,TWIST,738.3,1.092,39,-309.3,738.3,1.544,1.259,0.133,13,TWIST
A,TWIST,727.9,0.972,39,727.9,-401.5,1.942,1.269,0.301,15,TWIST
A,TWIST,660.2,1.057,32,-325.9,660.2,2.093,1.273,0.291,15,TWIST
A,TWIST,693.4,1.301,44,315.7,-217.3,1.912,1.346,0.234,13,TWIST
A,TWIST,653.5,1.514,27,653.5,-206.5,2.056,1.308,0.271,13,TWIST
A,TWIST,641.5,1.543,28,254.9,-160.8,1.755,1.255,0.203,6,TWIST
A,TWIST,676.4,0.997,51,-275.1,676.4,1.859,1.281,0.241,11,TWIST
A,TWIST,771.6,0.832,35,771.6,-324.5,2.052,1.337,0.296,9,TWIST
A,TWIST,653.2,1.356,52,-201.6,653.2,2.860,1.356,0.427,12,TWIST
A,TWIST,768.2,0.852,29,-360.4,768.2,2.085,1.329,0.231,11,TWIST
A,TWIST,648.6,1.041,52,648.6,-275.9,2.114,1.265,0.310,15,TWIST
A,TWIST,708.3,1.115,48,-288.5,708.3,2.168,1.303,0.278,13,TWIST
A,TWIST,694.2,1.844,36,258.8,-117.6,2.102,1.390,0.325,12,TWIST
A,TWIST,701.2,0.981,37,701.2,-231.8,1.755,1.271,0.157,8,TWIST
A,TWIST,799.8,6.152,23,799.8,99.3,2.430,1.567,0.346,9,FLICK
A,TWIST,811.5,1.005,37,811.5,-362.2,1.801,1.339,0.170,7,TWIST
A,TWIST,339.8,1.413,6,339.8,166.0,2.428,1.644,0.350,6,PINCH
A,TWIST,680.6,1.035,40,-440.0,680.6,2.313,1.368,0.294,16,TWIST
A,TWIST,731.5,1.109,47,-373.1,731.5,1.985,1.254,0.209,12,TWIST
A,PINCH,450.2,2.339,9,450.2,-96.7,2.746,1.594,0.466,11,PINCH
A,PINCH,482.4,2.292,17,27.2,482.4,2.063,1.466,0.272,15,PINCH
A,PINCH,777.0,0.802,45,-378.2,777.0,2.050,1.341,0.277,16,TWIST
A,PINCH,333.3,0.949,6,-222.9,333.3,2.427,1.417,0.405,12,PINCH
A,PINCH,322.3,1.390,14,322.3,65.4,2.240,1.495,0.247,10,PINCH
A,PINCH,424.1,1.334,13,424.1,222.4,2.336,1.529,0.368,10,PINCH
A,PINCH,282.6,1.800,7,-78.3,78.7,2.468,1.457,0.278,12,PINCH
A,PINCH,412.9,0.717,15,-306.6,-269.0,2.033,1.447,0.238,13,PINCH
A,PINCH,334.6,1.395,9,334.6,-142.0,2.081,1.401,0.282,16,PINCH
A,PINCH,445.0,2.866,11,123.8,31.5,2.130,1.465,0.331,11,PINCH
A,PINCH,554.1,1.756,9,-98.1,-217.4,3.091,1.414,0.493,8,PINCH
A,PINCH,498.7,0.859,17,-298.5,498.7,2.230,1.469,0.276,10,PINCH
A,PINCH,687.7,1.608,41,116.5,687.7,2.401,1.377,0.325,18,TWIST
A,PINCH,147.7,0.931,0,-84.9,73.7,2.292,1.379,0.281,4,NONE
A,PINCH,407.6,0.949,9,-151.6,407.6,2.175,1.387,0.275,15,PINCH
A,PINCH,310.1,0.955,15,310.1,175.8,2.526,1.420,0.333,10,PINCH
A,PINCH,415.4,3.804,13,415.4,-79.5,2.371,1.528,0.367,10,PINCH
A,GARBAGE,71.0,1.117,0,71.0,29.9,2.248,1.283,0.323,4,NONE
A,GARBAGE,348.7,1.732,21,348.7,-121.4,1.949,1.285,0.340,8,NONE
A,GARBAGE,132.8,0.938,0,132.8,41.6,2.105,1.310,0.342,3,NONE
A,GARBAGE,95.5,0.702,0,-65.7,-70.4,2.350,1.358,0.332,8,NONE
A,GARBAGE,294.1,1.550,14,97.3,294.1,1.555,1.061,0.170,1,NONE
A,GARBAGE,156.7,1.642,0,77.1,156.7,2.396,1.387,0.305,5,NONE
A,GARBAGE,102.6,1.448,0,-56.8,14.0,1.549,0.981,0.106,1,NONE
A,GARBAGE,127.9,0.950,0,-76.7,-57.8,1.880,1.240,0.215,9,NONE
A,GARBAGE,109.3,1.309,0,-47.7,35.9,1.607,1.001,0.215,3,NONE
A,GARBAGE,128.5,0.810,0,99.1,59.6,2.103,1.490,0.287,10,NONE
